domain,name,cluster
Biological,56e98770a6d70217090cdd7d,3
Biological,56e98770a6d70217090cdd7e,3
Biological,56e98770a6d70217090cdd7f,3
Biological,56e98770a6d70217090cdd80,3
Biological,56e98770a6d70217090cdd81,3
Biological,56e98770a6d70217090cdd82,3
Biological,56e98770a6d70217090cdd83,3
Biological,56e98770a6d70217090cdd84,3
Biological,56e98770a6d70217090cdd85,3
Biological,56e98770a6d70217090cdd86,3
Biological,56e98770a6d70217090cdd87,3
Biological,56e98770a6d70217090cdd88,3
Biological,56e98770a6d70217090cddaf,3
Biological,56e98770a6d70217090cdddd,3
Biological,56e98770a6d70217090cde03,3
Biological,56e98770a6d70217090cde04,3
Biological,56e98770a6d70217090cde06,3
Biological,56e98770a6d70217090cde08,3
Biological,56e98770a6d70217090cde3e,3
Biological,56e98770a6d70217090cde3f,3
Biological,56e98770a6d70217090cde40,3
Biological,56e98770a6d70217090cde41,2
Biological,56e98770a6d70217090cde42,3
Biological,56e98770a6d70217090cde45,2
Biological,56e98770a6d70217090cde46,2
Biological,56e98770a6d70217090cde47,2
Biological,56e98770a6d70217090cde49,3
Biological,56e98770a6d70217090cde4a,2
Biological,56e98770a6d70217090cde4d,3
Biological,56e98770a6d70217090cde4e,3
Biological,56e98770a6d70217090cde4f,3
Biological,56e98770a6d70217090cde51,3
Biological,56e9e0d7a6d70217090cdfa0,2
Biological,56e9e0d7a6d70217090cdfcb,2
Biological,56e9e0d7a6d70217090cdfcd,2
Biological,56e9e0d7a6d70217090cdfce,2
Biological,56e9e0d7a6d70217090cdfcf,2
Biological,56e9e0d7a6d70217090cdfd1,2
Biological,56e9e0d7a6d70217090cdfd4,2
Biological,56e9e0d7a6d70217090cdfd5,2
Biological,56e9e0d7a6d70217090cdfd6,2
Biological,56e9e0d7a6d70217090cdfd7,2
Biological,56e9e0d7a6d70217090cdfde,2
Biological,56e9e0d7a6d70217090cdfe0,2
Biological,56e9e0d7a6d70217090cdfe9,2
Biological,56e9e0d7a6d70217090cdfeb,2
Biological,56e9e0d7a6d70217090cdfec,2
Biological,56e9e0d7a6d70217090cdfee,2
Biological,56e9e0d7a6d70217090cdfef,2
Biological,56e9e0d7a6d70217090cdff0,2
Biological,56e9e0d7a6d70217090cdff5,2
Biological,56e9e0d7a6d70217090cdff6,2
Biological,56e9e0d7a6d70217090cdffa,2
Biological,56e9e0d8a6d70217090cdffd,2
Biological,56e9e0d8a6d70217090cdffe,2
Biological,56e9e0d8a6d70217090ce002,2
Biological,56e9e0d8a6d70217090ce004,2
Biological,56e9e0d8a6d70217090ce005,2
Biological,573f4b0f3d097b601f7bab25,2
Biological,573f4b0f3d097b601f7bab26,3
Biological,573f4b0f3d097b601f7bab27,2
Biological,574fa888bd3e93b53c6954b1,3
Biological,Aishihik_Lake_host-parasite_web_Aishihik_Lake_host-parasite_web,2
Biological,Arroyo_plant-pollinator_web_Elevation_1,3
Biological,Arroyo_plant-pollinator_web_Elevation_2,3
Biological,Arroyo_plant-pollinator_web_Elevation_3,3
Biological,Barrett_Helenurm_plant-pollinator_web_Barrett_Helenurm_plant-pollinator_web,1
Biological,Beehler_seed-disperser_web_Beehler_seed-disperser_web,2
